Source,Target,Type,SynapseCount,SourceFile,Relatedness
AINL,CEPshVR,chemical,1,witvliet_2020_2.xlsx,17.0
AINR,CEPshDL,chemical,1,witvliet_2020_2.xlsx,16.0
ALA,CEPshVL,chemical,1,witvliet_2020_2.xlsx,14.0
ALA,CEPshVR,chemical,3,witvliet_2020_2.xlsx,18.0
ASIR,CEPshDR,chemical,1,witvliet_2020_2.xlsx,14.0
ASJL,CEPshDL,chemical,1,witvliet_2020_2.xlsx,16.0
ASJL,CEPshVL,chemical,1,witvliet_2020_2.xlsx,18.0
ASJR,CEPshVR,chemical,1,witvliet_2020_2.xlsx,18.0
AVL,CEPshVR,chemical,1,witvliet_2020_2.xlsx,18.0
GLRL,RMEL,electrical,1,witvliet_2020_2.xlsx,18.0
GLRR,RMER,electrical,1,witvliet_2020_2.xlsx,14.0
IL1DL,BWM-DL01,chemical,2,witvliet_2020_2.xlsx,17.0
IL1DL,BWM-DL02,chemical,2,witvliet_2020_2.xlsx,18.0
IL1DR,BWM-DR01,chemical,1,witvliet_2020_2.xlsx,14.0
IL1DR,BWM-DR02,chemical,3,witvliet_2020_2.xlsx,14.0
IL1DR,GLRDR,chemical,1,witvliet_2020_2.xlsx,12.0
IL1L,BWM-DL02,chemical,5,witvliet_2020_2.xlsx,18.0
IL1L,BWM-VL02,chemical,4,witvliet_2020_2.xlsx,14.0
IL1R,BWM-DR02,chemical,2,witvliet_2020_2.xlsx,14.0
IL1R,BWM-VR02,chemical,3,witvliet_2020_2.xlsx,13.0
IL1VL,BWM-VL01,chemical,2,witvliet_2020_2.xlsx,18.0
IL1VL,BWM-VL02,chemical,3,witvliet_2020_2.xlsx,18.0
IL1VR,BWM-VR01,chemical,1,witvliet_2020_2.xlsx,16.0
IL1VR,BWM-VR02,chemical,2,witvliet_2020_2.xlsx,14.0
IL2DR,GLRR,chemical,1,witvliet_2020_2.xlsx,18.0
IL2VR,GLRVR,chemical,1,witvliet_2020_2.xlsx,18.0
PVQR,CEPshVR,chemical,1,witvliet_2020_2.xlsx,12.0
PVT,CEPshDL,chemical,1,witvliet_2020_2.xlsx,18.0
PVT,CEPshVL,chemical,2,witvliet_2020_2.xlsx,17.0
RIAR,GLRVL,chemical,1,witvliet_2020_2.xlsx,14.0
RIBL,RIBL,electrical,1,witvliet_2020_2.xlsx,1.0
RIBR,RIBR,electrical,1,witvliet_2020_2.xlsx,17.0
RICL,excgl,electrical,1,witvliet_2020_2.xlsx,18.0
RIGR,CEPshVR,chemical,1,witvliet_2020_2.xlsx,18.0
RIH,CEPshVL,chemical,2,witvliet_2020_2.xlsx,1.0
RIH,CEPshVR,chemical,1,witvliet_2020_2.xlsx,18.0
RIH,GLRR,chemical,1,witvliet_2020_2.xlsx,17.0
RIH,GLRVL,chemical,1,witvliet_2020_2.xlsx,17.0
RIH,GLRVR,chemical,1,witvliet_2020_2.xlsx,17.0
RIML,BWM-VR04,chemical,1,witvliet_2020_2.xlsx,17.0
RIMR,BWM-VL04,chemical,1,witvliet_2020_2.xlsx,18.0
RIR,CEPshVR,chemical,1,witvliet_2020_2.xlsx,4.0
RIVR,GLRVL,chemical,1,witvliet_2020_2.xlsx,13.0
RMDDL,BWM-DR01,chemical,3,witvliet_2020_2.xlsx,13.0
RMDDL,BWM-DR02,chemical,3,witvliet_2020_2.xlsx,17.0
RMDDL,BWM-DR03,chemical,3,witvliet_2020_2.xlsx,17.0
RMDDL,BWM-DR04,chemical,2,witvliet_2020_2.xlsx,17.0
RMDDR,BWM-DL01,chemical,2,witvliet_2020_2.xlsx,17.0
RMDDR,BWM-DL02,chemical,3,witvliet_2020_2.xlsx,12.0
RMDDR,BWM-DL03,chemical,2,witvliet_2020_2.xlsx,11.0
RMDDR,BWM-DL04,chemical,1,witvliet_2020_2.xlsx,13.0
RMDL,BWM-DR02,chemical,2,witvliet_2020_2.xlsx,12.0
RMDL,BWM-DR04,chemical,1,witvliet_2020_2.xlsx,4.0
RMDL,BWM-VR02,chemical,1,witvliet_2020_2.xlsx,17.0
RMDR,BWM-DL02,chemical,1,witvliet_2020_2.xlsx,13.0
RMDR,BWM-DL04,chemical,2,witvliet_2020_2.xlsx,17.0
RMDR,BWM-DL06,chemical,1,witvliet_2020_2.xlsx,13.0
RMDR,BWM-VL02,chemical,1,witvliet_2020_2.xlsx,13.0
RMDR,BWM-VL04,chemical,1,witvliet_2020_2.xlsx,17.0
RMDVL,BWM-VR01,chemical,2,witvliet_2020_2.xlsx,17.0
RMDVL,BWM-VR02,chemical,3,witvliet_2020_2.xlsx,17.0
RMDVL,BWM-VR03,chemical,2,witvliet_2020_2.xlsx,8.0
RMDVL,BWM-VR04,chemical,2,witvliet_2020_2.xlsx,13.0
RMDVR,BWM-VL01,chemical,2,witvliet_2020_2.xlsx,13.0
RMDVR,BWM-VL02,chemical,5,witvliet_2020_2.xlsx,4.0
RMDVR,BWM-VL03,chemical,1,witvliet_2020_2.xlsx,17.0
RMDVR,BWM-VL04,chemical,3,witvliet_2020_2.xlsx,13.0
RMED,BWM-VL01,chemical,6,witvliet_2020_2.xlsx,9.0
RMED,BWM-VL03,chemical,1,witvliet_2020_2.xlsx,8.0
RMED,BWM-VR01,chemical,4,witvliet_2020_2.xlsx,17.0
RMED,BWM-VR03,chemical,1,witvliet_2020_2.xlsx,17.0
RMEL,BWM-DR02,chemical,2,witvliet_2020_2.xlsx,13.0
RMEL,BWM-VR02,chemical,4,witvliet_2020_2.xlsx,4.0
RMER,BWM-DL02,chemical,2,witvliet_2020_2.xlsx,11.0
RMER,BWM-VL02,chemical,5,witvliet_2020_2.xlsx,17.0
RMER,GLRL,chemical,1,witvliet_2020_2.xlsx,17.0
RMEV,BWM-DL01,chemical,4,witvliet_2020_2.xlsx,17.0
RMEV,BWM-DL03,chemical,1,witvliet_2020_2.xlsx,13.0
RMEV,BWM-DR01,chemical,3,witvliet_2020_2.xlsx,12.0
RMEV,BWM-DR03,chemical,2,witvliet_2020_2.xlsx,14.0
SMBDL,BWM-DL01,chemical,1,witvliet_2020_2.xlsx,13.0
SMBDL,BWM-DL05,chemical,1,witvliet_2020_2.xlsx,17.0
SMBDL,BWM-DR01,chemical,2,witvliet_2020_2.xlsx,18.0
SMBDL,BWM-DR02,chemical,1,witvliet_2020_2.xlsx,18.0
SMBDL,BWM-DR03,chemical,1,witvliet_2020_2.xlsx,17.0
SMBDL,BWM-DR04,chemical,1,witvliet_2020_2.xlsx,15.0
SMBDL,BWM-DR05,chemical,1,witvliet_2020_2.xlsx,11.0
SMBDL,BWM-DR08,chemical,1,witvliet_2020_2.xlsx,13.0
SMBDL,GLRDL,chemical,1,witvliet_2020_2.xlsx,8.0
SMBDR,BWM-DL01,chemical,3,witvliet_2020_2.xlsx,13.0
SMBDR,BWM-DL02,chemical,1,witvliet_2020_2.xlsx,13.0
SMBDR,BWM-DL03,chemical,2,witvliet_2020_2.xlsx,17.0
SMBDR,BWM-DL04,chemical,2,witvliet_2020_2.xlsx,11.0
SMBDR,BWM-DL05,chemical,1,witvliet_2020_2.xlsx,14.0
SMBDR,GLRL,chemical,1,witvliet_2020_2.xlsx,14.0
SMBVL,BWM-VL01,chemical,1,witvliet_2020_2.xlsx,14.0
SMBVL,BWM-VL02,chemical,1,witvliet_2020_2.xlsx,13.0
SMBVL,BWM-VL03,chemical,2,witvliet_2020_2.xlsx,8.0
SMBVL,BWM-VL04,chemical,1,witvliet_2020_2.xlsx,13.0
SMBVL,GLRL,chemical,1,witvliet_2020_2.xlsx,15.0
SMBVR,BWM-VR01,chemical,2,witvliet_2020_2.xlsx,17.0
SMBVR,BWM-VR02,chemical,1,witvliet_2020_2.xlsx,15.0
SMBVR,BWM-VR03,chemical,2,witvliet_2020_2.xlsx,15.0
SMBVR,BWM-VR04,chemical,1,witvliet_2020_2.xlsx,15.0
SMDDL,BWM-DL03,chemical,1,witvliet_2020_2.xlsx,17.0
SMDDL,BWM-DR01,chemical,1,witvliet_2020_2.xlsx,13.0
SMDDL,BWM-DR03,chemical,1,witvliet_2020_2.xlsx,17.0
SMDDR,BWM-DL01,chemical,1,witvliet_2020_2.xlsx,15.0
SMDDR,BWM-DL03,chemical,1,witvliet_2020_2.xlsx,15.0
SMDVL,BWM-VR01,chemical,1,witvliet_2020_2.xlsx,13.0
SMDVL,BWM-VR03,chemical,1,witvliet_2020_2.xlsx,15.0
SMDVR,BWM-VL01,chemical,1,witvliet_2020_2.xlsx,15.0
SMDVR,BWM-VL03,chemical,1,witvliet_2020_2.xlsx,15.0
SMDVR,BWM-VR01,chemical,2,witvliet_2020_2.xlsx,17.0
SMDVR,BWM-VR03,chemical,1,witvliet_2020_2.xlsx,11.0
URADL,BWM-DL01,chemical,2,witvliet_2020_2.xlsx,13.0
URADL,BWM-DL02,chemical,3,witvliet_2020_2.xlsx,18.0
URADR,BWM-DR01,chemical,2,witvliet_2020_2.xlsx,18.0
URAVL,BWM-VL01,chemical,2,witvliet_2020_2.xlsx,11.0
URAVL,BWM-VL02,chemical,2,witvliet_2020_2.xlsx,17.0
URAVR,BWM-VR01,chemical,2,witvliet_2020_2.xlsx,13.0
URAVR,BWM-VR02,chemical,2,witvliet_2020_2.xlsx,18.0
URBL,BWM-DL02,chemical,1,witvliet_2020_2.xlsx,14.0
URBL,CEPshVL,chemical,1,witvliet_2020_2.xlsx,14.0
URBR,BWM-DR06,chemical,1,witvliet_2020_2.xlsx,17.0
URYVL,CEPshVL,chemical,1,witvliet_2020_2.xlsx,17.0
ADEL,CEPshDL,chemical,2,witvliet_2020_6.xlsx,17.0
ADER,BWM-DR04,chemical,1,witvliet_2020_6.xlsx,17.0
ADER,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,9.0
ADER,GLRR,chemical,2,witvliet_2020_6.xlsx,9.0
ADLL,CEPshVL,chemical,1,witvliet_2020_6.xlsx,17.0
AIAR,AIAR,electrical,1,witvliet_2020_6.xlsx,18.0
AIML,CEPshVL,chemical,1,witvliet_2020_6.xlsx,13.0
AIMR,CEPshDL,chemical,2,witvliet_2020_6.xlsx,
AIMR,CEPshVR,chemical,1,witvliet_2020_6.xlsx,13.0
AINL,CEPshVR,chemical,4,witvliet_2020_6.xlsx,17.0
AINR,CEPshVL,chemical,5,witvliet_2020_6.xlsx,17.0
ALA,CANR,chemical,1,witvliet_2020_6.xlsx,18.0
ALA,CEPshDL,chemical,1,witvliet_2020_6.xlsx,14.0
ALML,CEPshDL,chemical,1,witvliet_2020_6.xlsx,17.0
ASIL,CEPshVL,chemical,3,witvliet_2020_6.xlsx,17.0
ASIR,CEPshDR,chemical,1,witvliet_2020_6.xlsx,
ASIR,CEPshVR,chemical,4,witvliet_2020_6.xlsx,11.0
ASJL,CEPshVL,chemical,1,witvliet_2020_6.xlsx,17.0
ASJR,CEPshVR,chemical,1,witvliet_2020_6.xlsx,11.0
BDUL,CEPshVL,chemical,2,witvliet_2020_6.xlsx,14.0
BDUR,CEPshVR,chemical,2,witvliet_2020_6.xlsx,13.0
BWM-DR04,RMDL,electrical,1,witvliet_2020_6.xlsx,17.0
DVC,CEPshDL,chemical,1,witvliet_2020_6.xlsx,17.0
DVC,CEPshVL,chemical,1,witvliet_2020_6.xlsx,9.0
DVC,CEPshVR,chemical,1,witvliet_2020_6.xlsx,15.0
GLRR,RMER,electrical,1,witvliet_2020_6.xlsx,13.0
IL1DL,BWM-DL01,chemical,5,witvliet_2020_6.xlsx,14.0
IL1DL,BWM-DL02,chemical,3,witvliet_2020_6.xlsx,18.0
IL1DL,BWM-DL04,chemical,1,witvliet_2020_6.xlsx,13.0
IL1DR,BWM-DR01,chemical,4,witvliet_2020_6.xlsx,17.0
IL1DR,BWM-DR02,chemical,4,witvliet_2020_6.xlsx,9.0
IL1L,BWM-DL02,chemical,8,witvliet_2020_6.xlsx,9.0
IL1L,BWM-DL04,chemical,2,witvliet_2020_6.xlsx,11.0
IL1L,BWM-VL02,chemical,8,witvliet_2020_6.xlsx,14.0
IL1L,BWM-VL04,chemical,1,witvliet_2020_6.xlsx,16.0
IL1R,BWM-DR02,chemical,8,witvliet_2020_6.xlsx,17.0
IL1R,BWM-DR04,chemical,1,witvliet_2020_6.xlsx,19.0
IL1R,BWM-VR01,chemical,1,witvliet_2020_6.xlsx,16.0
IL1R,BWM-VR02,chemical,8,witvliet_2020_6.xlsx,18.0
IL1R,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,18.0
IL1VL,BWM-VL01,chemical,5,witvliet_2020_6.xlsx,14.0
IL1VL,BWM-VL02,chemical,1,witvliet_2020_6.xlsx,14.0
IL1VR,BWM-VR01,chemical,2,witvliet_2020_6.xlsx,14.0
IL1VR,BWM-VR02,chemical,1,witvliet_2020_6.xlsx,19.0
IL2DL,CEPshDL,chemical,1,witvliet_2020_6.xlsx,18.0
IL2VL,GLRVL,chemical,1,witvliet_2020_6.xlsx,16.0
IL2VR,GLRVR,chemical,2,witvliet_2020_6.xlsx,14.0
PVQL,CEPshDL,chemical,1,witvliet_2020_6.xlsx,18.0
PVT,CEPshVL,chemical,2,witvliet_2020_6.xlsx,18.0
RIBR,RIBR,electrical,1,witvliet_2020_6.xlsx,14.0
RIGR,CEPshVR,chemical,1,witvliet_2020_6.xlsx,19.0
RIH,CEPshVR,chemical,2,witvliet_2020_6.xlsx,18.0
RIH,GLRL,chemical,2,witvliet_2020_6.xlsx,13.0
RIH,GLRR,chemical,1,witvliet_2020_6.xlsx,17.0
RIH,GLRVL,chemical,1,witvliet_2020_6.xlsx,
RIML,BWM-DR04,chemical,2,witvliet_2020_6.xlsx,
RIML,BWM-DR06,chemical,2,witvliet_2020_6.xlsx,1.0
RIML,BWM-DR08,chemical,1,witvliet_2020_6.xlsx,18.0
RIML,BWM-VR04,chemical,2,witvliet_2020_6.xlsx,17.0
RIML,BWM-VR08,chemical,1,witvliet_2020_6.xlsx,1.0
RIMR,BWM-DL04,chemical,1,witvliet_2020_6.xlsx,12.0
RIMR,BWM-VL04,chemical,3,witvliet_2020_6.xlsx,17.0
RIMR,BWM-VL06,chemical,1,witvliet_2020_6.xlsx,18.0
RIVL,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,18.0
RIVL,BWM-VR05,chemical,4,witvliet_2020_6.xlsx,18.0
RIVL,BWM-VR06,chemical,3,witvliet_2020_6.xlsx,18.0
RIVL,BWM-VR07,chemical,4,witvliet_2020_6.xlsx,18.0
RIVL,BWM-VR08,chemical,2,witvliet_2020_6.xlsx,18.0
RIVL,GLRVL,chemical,2,witvliet_2020_6.xlsx,18.0
RIVL,GLRVR,chemical,1,witvliet_2020_6.xlsx,18.0
RIVR,BWM-VL04,chemical,1,witvliet_2020_6.xlsx,16.0
RIVR,BWM-VL05,chemical,3,witvliet_2020_6.xlsx,16.0
RIVR,BWM-VL06,chemical,2,witvliet_2020_6.xlsx,10.0
RIVR,BWM-VL07,chemical,2,witvliet_2020_6.xlsx,16.0
RIVR,BWM-VL08,chemical,1,witvliet_2020_6.xlsx,14.0
RIVR,CEPshVL,chemical,1,witvliet_2020_6.xlsx,17.0
RIVR,GLRVL,chemical,1,witvliet_2020_6.xlsx,14.0
RMDDL,BWM-DL01,chemical,1,witvliet_2020_6.xlsx,13.0
RMDDL,BWM-DL03,chemical,1,witvliet_2020_6.xlsx,3.0
RMDDL,BWM-DL05,chemical,1,witvliet_2020_6.xlsx,13.0
RMDDL,BWM-DR01,chemical,3,witvliet_2020_6.xlsx,13.0
RMDDL,BWM-DR02,chemical,4,witvliet_2020_6.xlsx,13.0
RMDDL,BWM-DR03,chemical,5,witvliet_2020_6.xlsx,10.0
RMDDL,BWM-DR04,chemical,4,witvliet_2020_6.xlsx,17.0
RMDDL,BWM-DR05,chemical,1,witvliet_2020_6.xlsx,11.0
RMDDR,BWM-DL01,chemical,5,witvliet_2020_6.xlsx,13.0
RMDDR,BWM-DL02,chemical,7,witvliet_2020_6.xlsx,14.0
RMDDR,BWM-DL03,chemical,3,witvliet_2020_6.xlsx,15.0
RMDDR,BWM-DL04,chemical,6,witvliet_2020_6.xlsx,18.0
RMDDR,BWM-DL05,chemical,3,witvliet_2020_6.xlsx,17.0
RMDDR,BWM-DL07,chemical,1,witvliet_2020_6.xlsx,5.0
RMDDR,BWM-DR01,chemical,1,witvliet_2020_6.xlsx,5.0
RMDL,BWM-DR02,chemical,1,witvliet_2020_6.xlsx,17.0
RMDL,BWM-DR04,chemical,4,witvliet_2020_6.xlsx,17.0
RMDL,BWM-VR02,chemical,1,witvliet_2020_6.xlsx,12.0
RMDL,BWM-VR04,chemical,3,witvliet_2020_6.xlsx,14.0
RMDR,BWM-DL04,chemical,3,witvliet_2020_6.xlsx,11.0
RMDR,BWM-DL06,chemical,1,witvliet_2020_6.xlsx,13.0
RMDR,BWM-VL02,chemical,1,witvliet_2020_6.xlsx,5.0
RMDR,BWM-VL04,chemical,4,witvliet_2020_6.xlsx,17.0
RMDVL,BWM-VL03,chemical,2,witvliet_2020_6.xlsx,17.0
RMDVL,BWM-VL05,chemical,1,witvliet_2020_6.xlsx,13.0
RMDVL,BWM-VR01,chemical,6,witvliet_2020_6.xlsx,13.0
RMDVL,BWM-VR02,chemical,5,witvliet_2020_6.xlsx,17.0
RMDVL,BWM-VR03,chemical,7,witvliet_2020_6.xlsx,17.0
RMDVL,BWM-VR04,chemical,4,witvliet_2020_6.xlsx,18.0
RMDVL,BWM-VR05,chemical,3,witvliet_2020_6.xlsx,14.0
RMDVR,BWM-VL01,chemical,6,witvliet_2020_6.xlsx,16.0
RMDVR,BWM-VL02,chemical,6,witvliet_2020_6.xlsx,14.0
RMDVR,BWM-VL03,chemical,6,witvliet_2020_6.xlsx,
RMDVR,BWM-VL04,chemical,5,witvliet_2020_6.xlsx,9.0
RMDVR,BWM-VL05,chemical,2,witvliet_2020_6.xlsx,
RMDVR,BWM-VL06,chemical,1,witvliet_2020_6.xlsx,
RMDVR,BWM-VL07,chemical,1,witvliet_2020_6.xlsx,18.0
RMDVR,BWM-VR01,chemical,1,witvliet_2020_6.xlsx,18.0
RMDVR,BWM-VR03,chemical,1,witvliet_2020_6.xlsx,9.0
RMDVR,BWM-VR05,chemical,4,witvliet_2020_6.xlsx,
RMDVR,GLRVL,chemical,1,witvliet_2020_6.xlsx,12.0
RMED,BWM-VL01,chemical,10,witvliet_2020_6.xlsx,18.0
RMED,BWM-VL03,chemical,7,witvliet_2020_6.xlsx,9.0
RMED,BWM-VR01,chemical,6,witvliet_2020_6.xlsx,14.0
RMED,BWM-VR03,chemical,8,witvliet_2020_6.xlsx,10.0
RMED,BWM-VR05,chemical,2,witvliet_2020_6.xlsx,12.0
RMEL,BWM-DR02,chemical,12,witvliet_2020_6.xlsx,15.0
RMEL,BWM-DR04,chemical,1,witvliet_2020_6.xlsx,10.0
RMEL,BWM-VR02,chemical,10,witvliet_2020_6.xlsx,8.0
RMEL,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,14.0
RMER,BWM-DL02,chemical,10,witvliet_2020_6.xlsx,18.0
RMER,BWM-DL04,chemical,2,witvliet_2020_6.xlsx,18.0
RMER,BWM-VL02,chemical,11,witvliet_2020_6.xlsx,8.0
RMER,BWM-VL04,chemical,2,witvliet_2020_6.xlsx,18.0
RMER,GLRL,chemical,1,witvliet_2020_6.xlsx,14.0
RMEV,BWM-DL01,chemical,6,witvliet_2020_6.xlsx,14.0
RMEV,BWM-DL03,chemical,4,witvliet_2020_6.xlsx,14.0
RMEV,BWM-DR01,chemical,5,witvliet_2020_6.xlsx,19.0
RMEV,BWM-DR02,chemical,1,witvliet_2020_6.xlsx,13.0
RMEV,BWM-DR03,chemical,5,witvliet_2020_6.xlsx,17.0
RMGL,BWM-DL06,chemical,3,witvliet_2020_6.xlsx,15.0
RMGL,BWM-DL08,chemical,3,witvliet_2020_6.xlsx,15.0
RMGL,BWM-VL04,chemical,3,witvliet_2020_6.xlsx,5.0
RMGL,BWM-VL06,chemical,5,witvliet_2020_6.xlsx,14.0
RMGL,BWM-VL08,chemical,5,witvliet_2020_6.xlsx,17.0
RMGR,BWM-DR06,chemical,1,witvliet_2020_6.xlsx,9.0
RMGR,BWM-DR08,chemical,1,witvliet_2020_6.xlsx,13.0
RMGR,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,17.0
RMGR,BWM-VR06,chemical,3,witvliet_2020_6.xlsx,18.0
RMGR,BWM-VR08,chemical,1,witvliet_2020_6.xlsx,16.0
RMHL,BWM-DR02,chemical,4,witvliet_2020_6.xlsx,13.0
RMHL,BWM-DR04,chemical,2,witvliet_2020_6.xlsx,13.0
RMHL,BWM-VR02,chemical,4,witvliet_2020_6.xlsx,15.0
RMHL,BWM-VR04,chemical,5,witvliet_2020_6.xlsx,17.0
RMHR,BWM-DL02,chemical,3,witvliet_2020_6.xlsx,17.0
RMHR,BWM-VL02,chemical,3,witvliet_2020_6.xlsx,18.0
RMHR,BWM-VL04,chemical,1,witvliet_2020_6.xlsx,17.0
SMBDL,BWM-DR01,chemical,3,witvliet_2020_6.xlsx,17.0
SMBDL,BWM-DR02,chemical,1,witvliet_2020_6.xlsx,18.0
SMBDL,BWM-DR03,chemical,5,witvliet_2020_6.xlsx,13.0
SMBDL,BWM-DR04,chemical,1,witvliet_2020_6.xlsx,18.0
SMBDL,BWM-DR05,chemical,1,witvliet_2020_6.xlsx,17.0
SMBDL,BWM-DR07,chemical,1,witvliet_2020_6.xlsx,13.0
SMBDL,GLRDR,chemical,1,witvliet_2020_6.xlsx,17.0
SMBDL,GLRR,chemical,1,witvliet_2020_6.xlsx,13.0
SMBDR,BWM-DL01,chemical,3,witvliet_2020_6.xlsx,17.0
SMBDR,BWM-DL02,chemical,2,witvliet_2020_6.xlsx,13.0
SMBDR,BWM-DL03,chemical,4,witvliet_2020_6.xlsx,17.0
SMBDR,BWM-DL04,chemical,2,witvliet_2020_6.xlsx,13.0
SMBDR,BWM-DL05,chemical,4,witvliet_2020_6.xlsx,7.0
SMBDR,BWM-DL07,chemical,1,witvliet_2020_6.xlsx,18.0
SMBDR,GLRL,chemical,2,witvliet_2020_6.xlsx,18.0
SMBVL,BWM-VL01,chemical,3,witvliet_2020_6.xlsx,15.0
SMBVL,BWM-VL02,chemical,3,witvliet_2020_6.xlsx,17.0
SMBVL,BWM-VL03,chemical,3,witvliet_2020_6.xlsx,18.0
SMBVL,BWM-VL04,chemical,4,witvliet_2020_6.xlsx,17.0
SMBVL,BWM-VL05,chemical,2,witvliet_2020_6.xlsx,13.0
SMBVL,BWM-VL06,chemical,1,witvliet_2020_6.xlsx,17.0
SMBVL,BWM-VL07,chemical,1,witvliet_2020_6.xlsx,15.0
SMBVL,BWM-VL08,chemical,1,witvliet_2020_6.xlsx,15.0
SMBVR,BWM-VR01,chemical,2,witvliet_2020_6.xlsx,15.0
SMBVR,BWM-VR02,chemical,3,witvliet_2020_6.xlsx,11.0
SMBVR,BWM-VR03,chemical,4,witvliet_2020_6.xlsx,15.0
SMBVR,BWM-VR04,chemical,3,witvliet_2020_6.xlsx,17.0
SMBVR,BWM-VR05,chemical,3,witvliet_2020_6.xlsx,13.0
SMBVR,BWM-VR07,chemical,3,witvliet_2020_6.xlsx,17.0
SMBVR,CEPshVR,chemical,1,witvliet_2020_6.xlsx,9.0
SMBVR,GLRR,chemical,1,witvliet_2020_6.xlsx,18.0
SMDDL,BWM-DR01,chemical,1,witvliet_2020_6.xlsx,18.0
SMDDL,BWM-DR03,chemical,1,witvliet_2020_6.xlsx,13.0
SMDDL,BWM-DR04,chemical,1,witvliet_2020_6.xlsx,13.0
SMDDL,BWM-DR05,chemical,1,witvliet_2020_6.xlsx,15.0
SMDDR,BWM-DL01,chemical,1,witvliet_2020_6.xlsx,15.0
SMDDR,BWM-DL03,chemical,1,witvliet_2020_6.xlsx,11.0
SMDDR,BWM-DL04,chemical,1,witvliet_2020_6.xlsx,15.0
SMDDR,BWM-DL05,chemical,2,witvliet_2020_6.xlsx,17.0
SMDVL,BWM-VL01,chemical,1,witvliet_2020_6.xlsx,13.0
SMDVL,BWM-VL03,chemical,1,witvliet_2020_6.xlsx,15.0
SMDVL,BWM-VR01,chemical,1,witvliet_2020_6.xlsx,17.0
SMDVL,BWM-VR03,chemical,1,witvliet_2020_6.xlsx,17.0
SMDVR,BWM-VL01,chemical,1,witvliet_2020_6.xlsx,15.0
SMDVR,BWM-VL03,chemical,1,witvliet_2020_6.xlsx,9.0
SMDVR,BWM-VL05,chemical,1,witvliet_2020_6.xlsx,
URADL,BWM-DL01,chemical,3,witvliet_2020_6.xlsx,17.0
URADL,BWM-DL02,chemical,3,witvliet_2020_6.xlsx,17.0
URADR,BWM-DR01,chemical,6,witvliet_2020_6.xlsx,13.0
URADR,BWM-DR02,chemical,3,witvliet_2020_6.xlsx,13.0
URAVL,BWM-DL02,chemical,1,witvliet_2020_6.xlsx,12.0
URAVL,BWM-VL01,chemical,4,witvliet_2020_6.xlsx,18.0
URAVL,BWM-VL02,chemical,5,witvliet_2020_6.xlsx,15.0
URAVL,BWM-VL04,chemical,2,witvliet_2020_6.xlsx,17.0
URAVR,BWM-VR01,chemical,3,witvliet_2020_6.xlsx,15.0
URAVR,BWM-VR02,chemical,4,witvliet_2020_6.xlsx,9.0
URAVR,BWM-VR04,chemical,1,witvliet_2020_6.xlsx,13.0
URYDL,BWM-DL01,chemical,1,witvliet_2020_6.xlsx,12.0
URYDL,BWM-VL02,chemical,1,witvliet_2020_6.xlsx,10.0
URYDR,BWM-DR01,chemical,1,witvliet_2020_6.xlsx,9.0
URYDR,BWM-DR03,chemical,2,witvliet_2020_6.xlsx,11.0
I1L , I2L           ,chemical,10,herm_full_edgelist_MODIFIED.csv,1.0
I1L , I3            ,chemical,3,herm_full_edgelist_MODIFIED.csv,17.0
I1L , I5            ,chemical,2,herm_full_edgelist_MODIFIED.csv,18.0
I1L , I6            ,chemical,1,herm_full_edgelist_MODIFIED.csv,13.0
I1L , M2L           ,chemical,3,herm_full_edgelist_MODIFIED.csv,17.0
I1L , M3L           ,chemical,8,herm_full_edgelist_MODIFIED.csv,1.0
I1L , M3R           ,chemical,2,herm_full_edgelist_MODIFIED.csv,13.0
I1L , MCL           ,chemical,2,herm_full_edgelist_MODIFIED.csv,12.0
I1L , MCR           ,chemical,2,herm_full_edgelist_MODIFIED.csv,11.0
I1L , MI            ,chemical,2,herm_full_edgelist_MODIFIED.csv,13.0
I1L , NSML          ,chemical,3,herm_full_edgelist_MODIFIED.csv,15.0
I1L , pm1vl         ,chemical,2,herm_full_edgelist_MODIFIED.csv,9.0
I1L , pm3vl         ,chemical,7,herm_full_edgelist_MODIFIED.csv,15.0
I1L , pm4d          ,chemical,1,herm_full_edgelist_MODIFIED.csv,18.0
I1L , pm4vl         ,chemical,2,herm_full_edgelist_MODIFIED.csv,15.0
I1R , I2R           ,chemical,6,herm_full_edgelist_MODIFIED.csv,18.0
I1R , I3            ,chemical,1,herm_full_edgelist_MODIFIED.csv,17.0
I1R , I5            ,chemical,2,herm_full_edgelist_MODIFIED.csv,15.0
I1R , M1            ,chemical,1,herm_full_edgelist_MODIFIED.csv,11.0
I1R , M2L           ,chemical,1,herm_full_edgelist_MODIFIED.csv,15.0
I1R , M2R           ,chemical,3,herm_full_edgelist_MODIFIED.csv,13.0
I1R , M3L           ,chemical,1,herm_full_edgelist_MODIFIED.csv,15.0
I1R , M3R           ,chemical,6,herm_full_edgelist_MODIFIED.csv,9.0
I1R , MCL           ,chemical,3,herm_full_edgelist_MODIFIED.csv,16.0
I1R , MCR           ,chemical,4,herm_full_edgelist_MODIFIED.csv,14.0
I1R , MI            ,chemical,1,herm_full_edgelist_MODIFIED.csv,15.0
I1R , NSML          ,chemical,1,herm_full_edgelist_MODIFIED.csv,17.0
